OP01-006 (Otama, C1, P0) : counts = [4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x], average = 4.00 in 44 lists
OP03-013 (Marco, C5, P6000) : counts = [4x, 4x, 0x, 4x, 0x, 0x, 0x, 0x, 4x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 4x], average = 0.45 in 44 lists
OP06-007 (Shanks, C10, P12000) : counts = [0x, 1x, 1x, 1x, 0x, 0x, 2x, 2x, 2x, 1x, 0x, 2x, 2x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 2x, 2x, 2x, 2x, 2x, 1x, 0x, 0x, 3x, 1x, 2x, 2x, 4x, 0x, 2x, 0x, 0x, 3x, 0x, 2x, 1x, 0x, 0x, 1x], average = 1.05 in 44 lists
OP06-009 (Shuraiya, C3, P4000) : counts = [0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 4x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x], average = 0.09 in 44 lists
OP01-029 (Radical Beam!!, C1, Event) : counts = [0x, 2x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 2x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 4x, 3x, 2x], average = 0.30 in 44 lists
P-069 (Koala, C1, P1000) : counts = [0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 4x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x], average = 0.09 in 44 lists
OP09-014 (Limejuice, C3, P3000) : counts = [4x, 4x, 2x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x], average = 3.95 in 44 lists
OP08-118 (Silvers Rayleigh, C8, P8000) : counts = [4x, 4x, 4x, 4x, 0x, 2x, 0x, 2x, 4x, 4x, 0x, 3x, 2x, 0x, 2x, 3x, 2x, 4x, 0x, 0x, 3x, 4x, 4x, 4x, 3x, 4x, 4x, 2x, 3x, 4x, 4x, 3x, 4x, 3x, 3x, 3x, 3x, 4x, 4x, 3x, 0x, 4x, 4x, 4x], average = 2.84 in 44 lists
OP07-014 (Moda, C1, P0) : counts = [0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 1x, 0x, 0x, 0x], average = 0.02 in 44 lists
OP08-015 (Dr.Kureha, C1, P2000) : counts = [0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 4x, 0x, 0x, 0x], average = 0.09 in 44 lists
OP09-015 (Lucky.Roux, C4, P5000) : counts = [2x, 0x, 3x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 4x, 0x, 0x, 4x, 0x], average = 3.57 in 44 lists
OP01-026 (Gum-Gum Fire-Fist Pistol Red Hawk, C2, Event) : counts = [0x, 4x, 3x, 3x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 0x, 4x, 4x, 0x, 4x], average = 0.50 in 44 lists
